================================================================================
Map: random-32-32-20 | Agents: 10 | Scenarios: 50
================================================================================

  ✅ random-32-32-20-random-17                SOLVED       runtime=0.21s, makespan=41, soc=400
  ✅ random-32-32-20-random-13                SOLVED       runtime=0.22s, makespan=38, soc=370
  ✅ random-32-32-20-random-2                 SOLVED       runtime=0.24s, makespan=48, soc=470
  ✅ random-32-32-20-random-12                SOLVED       runtime=0.25s, makespan=36, soc=350
  ✅ random-32-32-20-random-5                 SOLVED       runtime=0.27s, makespan=38, soc=370
  ✅ random-32-32-20-random-7                 SOLVED       runtime=0.21s, makespan=38, soc=370
  ✅ random-32-32-20-random-6                 SOLVED       runtime=0.23s, makespan=39, soc=380
  ✅ random-32-32-20-random-10                SOLVED       runtime=0.24s, makespan=46, soc=450
  ✅ random-32-32-20-random-18                SOLVED       runtime=0.26s, makespan=50, soc=490
  ✅ random-32-32-20-random-4                 SOLVED       runtime=0.21s, makespan=46, soc=450
  ✅ random-32-32-20-random-19                SOLVED       runtime=0.22s, makespan=36, soc=350
  ✅ random-32-32-20-random-25                SOLVED       runtime=0.24s, makespan=45, soc=440
  ✅ random-32-32-20-random-1                 SOLVED       runtime=0.25s, makespan=43, soc=420
  ✅ random-32-32-20-random-21                SOLVED       runtime=0.27s, makespan=40, soc=390
  ✅ random-32-32-20-random-9                 SOLVED       runtime=0.21s, makespan=46, soc=450
  ✅ random-32-32-20-random-23                SOLVED       runtime=0.22s, makespan=44, soc=430
  ✅ random-32-32-20-random-11                SOLVED       runtime=0.24s, makespan=38, soc=370
  ✅ random-32-32-20-random-20                SOLVED       runtime=0.25s, makespan=45, soc=440
  ✅ random-32-32-20-random-3                 SOLVED       runtime=0.22s, makespan=42, soc=410
  ✅ random-32-32-20-random-14                SOLVED       runtime=0.23s, makespan=38, soc=370
  ✅ random-32-32-20-random-16                SOLVED       runtime=0.24s, makespan=38, soc=370
  ✅ random-32-32-20-random-22                SOLVED       runtime=0.26s, makespan=48, soc=470
  ✅ random-32-32-20-even-22                  SOLVED       runtime=0.22s, makespan=46, soc=450
  ✅ random-32-32-20-random-8                 SOLVED       runtime=0.23s, makespan=36, soc=350
  ✅ random-32-32-20-random-24                SOLVED       runtime=0.25s, makespan=38, soc=370
  ✅ random-32-32-20-random-15                SOLVED       runtime=0.27s, makespan=33, soc=320
  ✅ random-32-32-20-even-13                  SOLVED       runtime=0.26s, makespan=49, soc=480
  ✅ random-32-32-20-even-11                  SOLVED       runtime=0.21s, makespan=51, soc=500
  ✅ random-32-32-20-even-8                   SOLVED       runtime=0.23s, makespan=50, soc=490
  ✅ random-32-32-20-even-15                  SOLVED       runtime=0.24s, makespan=51, soc=500
  ✅ random-32-32-20-even-12                  SOLVED       runtime=0.25s, makespan=52, soc=510
  ✅ random-32-32-20-even-2                   SOLVED       runtime=0.21s, makespan=45, soc=440
  ✅ random-32-32-20-even-3                   SOLVED       runtime=0.23s, makespan=34, soc=330
  ✅ random-32-32-20-even-24                  SOLVED       runtime=0.25s, makespan=53, soc=520
  ✅ random-32-32-20-even-6                   SOLVED       runtime=0.24s, makespan=39, soc=380
  ✅ random-32-32-20-even-21                  SOLVED       runtime=0.21s, makespan=51, soc=500
  ✅ random-32-32-20-even-5                   SOLVED       runtime=0.22s, makespan=42, soc=410
  ✅ random-32-32-20-even-9                   SOLVED       runtime=0.21s, makespan=48, soc=470
  ✅ random-32-32-20-even-16                  SOLVED       runtime=0.23s, makespan=46, soc=450
  ✅ random-32-32-20-even-7                   SOLVED       runtime=0.22s, makespan=36, soc=350
  ✅ random-32-32-20-even-1                   SOLVED       runtime=0.23s, makespan=38, soc=370
  ✅ random-32-32-20-even-18                  SOLVED       runtime=0.21s, makespan=65, soc=640
  ✅ random-32-32-20-even-23                  SOLVED       runtime=0.23s, makespan=50, soc=490
  ✅ random-32-32-20-even-10                  SOLVED       runtime=0.21s, makespan=46, soc=450
  ✅ random-32-32-20-even-20                  SOLVED       runtime=0.23s, makespan=50, soc=490
  ✅ random-32-32-20-even-17                  SOLVED       runtime=0.22s, makespan=53, soc=520
  ✅ random-32-32-20-even-25                  SOLVED       runtime=0.21s, makespan=51, soc=500
  ✅ random-32-32-20-even-14                  SOLVED       runtime=0.22s, makespan=52, soc=510
  ✅ random-32-32-20-even-4                   SOLVED       runtime=0.22s, makespan=47, soc=460
  ✅ random-32-32-20-even-19                  SOLVED       runtime=0.21s, makespan=28, soc=270
